Date,Rate,Currency,Factor
29/6/21,3.673199,AED,0.272242261
1/7/21,3.6732,AED,0.272242187
11/7/21,3.673033,AED,0.272254565
15/7/21,3.6732,AED,0.272242187
19/7/21,3.6732,AED,0.272242187
25/7/21,3.674663,AED,0.272133798
31/7/21,3.669994,AED,0.27248001
4/8/21,3.672465,AED,0.272296673
8/8/21,3.672206,AED,0.272315878
17/8/21,3.670007,AED,0.272479044
24/8/21,3.670453,AED,0.272445935
26/8/21,3.670116,AED,0.272470952
4/9/21,3.673106,AED,0.272249154
14/9/21,3.673795,AED,0.272198095
17/9/21,3.669318,AED,0.272530209
27/9/21,3.671447,AED,0.272372174
30/9/21,3.672687,AED,0.272280213
1/10/21,3.674054,AED,0.272178906
7/10/21,3.674721,AED,0.272129503
9/10/21,3.673044,AED,0.272253749
10/10/21,3.670417,AED,0.272448607
18/10/21,3.672843,AED,0.272268649
25/10/21,3.672145,AED,0.272320401
30/10/21,3.671092,AED,0.272398512
6/11/21,3.671866,AED,0.272341093
16/11/21,3.672933,AED,0.272261977
23/11/21,3.672674,AED,0.272281177
28/11/21,3.671067,AED,0.272400368
3/12/21,3.672497,AED,0.2722943
10/12/21,3.672046,AED,0.272327743
19/12/21,3.669956,AED,0.272482831
22/12/21,3.672458,AED,0.272297192
24/12/21,3.671537,AED,0.272365497
30/12/21,3.669256,AED,0.272534814
4/1/22,3.672364,AED,0.272304162
6/1/22,3.670472,AED,0.272444525
16/1/22,3.66984,AED,0.272491444
22/1/22,3.674146,AED,0.272172091
27/1/22,3.66891,AED,0.272560515
31/1/22,3.671904,AED,0.272338275
1/2/22,3.672784,AED,0.272273022
7/2/22,3.671968,AED,0.272333528
17/2/22,3.671928,AED,0.272336495
21/2/22,3.671047,AED,0.272401852
23/2/22,3.672602,AED,0.272286515
25/2/22,3.671995,AED,0.272331526
7/3/22,3.673904,AED,0.272190019
11/3/22,3.672489,AED,0.272294893
18/3/22,3.669786,AED,0.272495453
20/3/22,3.672845,AED,0.2722685
25/3/22,3.673865,AED,0.272192909
4/4/22,3.672738,AED,0.272276432
13/4/22,3.672522,AED,0.272292446
18/4/22,3.671195,AED,0.27239087
24/4/22,3.671711,AED,0.27235259
29/4/22,3.672099,AED,0.272323813
4/5/22,3.66982,AED,0.272492929
12/5/20,67.373818,ARS,0.014842561
16/5/20,67.636479,ARS,0.014784921
21/5/20,67.9362,ARS,0.014719693
31/5/20,68.434476,ARS,0.014612518
4/6/20,68.823303,ARS,0.014529962
11/6/20,69.316811,ARS,0.014426515
14/6/20,69.425291,ARS,0.014403973
24/6/20,70.091316,ARS,0.014267103
27/6/20,70.158428,ARS,0.014253455
6/7/20,70.750998,ARS,0.014134076
10/7/20,70.901372,ARS,0.014104099
12/7/20,70.733862,ARS,0.0141375
13/7/20,71.16482,ARS,0.014051887
22/7/20,71.71255,ARS,0.013944561
27/7/20,72.000895,ARS,0.013888716
4/8/20,72.549595,ARS,0.013783674
8/8/20,72.766518,ARS,0.013742584
17/8/20,73.097999,ARS,0.013680265
27/8/20,73.880583,ARS,0.013535356
28/8/20,73.919197,ARS,0.013528285
29/8/20,73.919197,ARS,0.013528285
3/9/20,74.346289,ARS,0.01345057
10/9/20,74.778082,ARS,0.013372903
18/9/20,75.302579,ARS,0.013279758
26/9/20,75.78677,ARS,0.013194915
5/10/20,76.938454,ARS,0.012997402
8/10/20,77.125883,ARS,0.012965816
11/10/20,77.207058,ARS,0.012952184
13/10/20,77.368174,ARS,0.012925211
23/10/20,78.120126,ARS,0.012800799
1/11/20,78.36028,ARS,0.012761567
3/11/20,78.927309,ARS,0.012669886
9/11/20,79.272303,ARS,0.012614746
12/11/20,79.508902,ARS,0.012577208
15/11/20,79.715647,ARS,0.012544589
19/11/20,80.2809,ARS,0.012456263
27/11/20,80.995335,ARS,0.01234639
30/11/20,81.315441,ARS,0.012297787
3/12/20,81.503344,ARS,0.012269435
5/12/20,81.657915,ARS,0.01224621
10/12/20,82.067353,ARS,0.012185113
18/12/20,82.759635,ARS,0.012083185
26/12/20,82.846167,ARS,0.012070564
27/12/20,83.427454,ARS,0.011986462
30/12/20,84.144975,ARS,0.011884251
9/1/21,85.108845,ARS,0.01174966
12/1/21,85.466127,ARS,0.011700542
22/1/21,86.449287,ARS,0.011567475
30/1/21,87.073211,ARS,0.011484589
3/2/21,87.807495,ARS,0.011388549
12/2/21,88.453937,ARS,0.011305319
21/2/21,89.157505,ARS,0.011216106
28/2/21,89.826159,ARS,0.011132614
9/3/21,90.575809,ARS,0.011040475
12/3/21,90.79072,ARS,0.011014342
21/3/21,91.430499,ARS,0.010937269
24/3/21,91.443133,ARS,0.010935758
30/3/21,91.954985,ARS,0.010874886
8/4/21,92.308538,ARS,0.010833234
18/4/21,92.858627,ARS,0.010769059
26/4/21,93.285335,ARS,0.010719799
2/5/21,93.90193,ARS,0.010649408
7/5/21,93.724305,ARS,0.010669591
10/5/21,93.836399,ARS,0.010656845
20/5/21,94.233539,ARS,0.010611933
25/5/21,94.224662,ARS,0.010612933
29/5/21,94.552994,ARS,0.01057608
3/6/21,94.727579,ARS,0.010556588
11/6/21,95.132547,ARS,0.01051165
20/6/21,95.303454,ARS,0.010492799
27/6/21,95.529277,ARS,0.010467995
7/7/21,95.928713,ARS,0.010424408
13/7/21,96.125027,ARS,0.010403118
19/7/21,96.313196,ARS,0.010382793
23/7/21,96.364965,ARS,0.010377215
27/7/21,96.474262,ARS,0.010365459
28/7/21,96.57796,ARS,0.010354329
31/7/21,96.607727,ARS,0.010351139
6/8/21,96.861399,ARS,0.01032403
11/8/21,96.911245,ARS,0.01031872
14/8/21,96.996919,ARS,0.010309606
24/8/21,97.280507,ARS,0.010279552
26/8/21,97.34973,ARS,0.010272242
30/8/21,97.531844,ARS,0.010253062
8/9/21,97.91124,ARS,0.010213332
18/9/21,98.203103,ARS,0.010182978
28/9/21,98.494983,ARS,0.010152801
2/10/21,98.682379,ARS,0.010133521
11/10/21,98.823095,ARS,0.010119092
20/10/21,99.250145,ARS,0.010075552
23/10/21,99.320851,ARS,0.010068379
29/10/21,99.671582,ARS,0.01003295
7/11/21,99.893426,ARS,0.010010669
13/11/21,100.2087,ARS,0.009979173
22/11/21,100.368049,ARS,0.00996333
28/11/21,100.858434,ARS,0.009914887
1/12/21,100.903876,ARS,0.009910422
3/12/21,101.089811,ARS,0.009892194
13/12/21,101.637773,ARS,0.009838862
15/12/21,101.846084,ARS,0.009818738
25/12/21,102.251291,ARS,0.009779828
4/1/22,103.069303,ARS,0.00970221
11/1/22,103.456557,ARS,0.009665893
20/1/22,104.220933,ARS,0.009595001
24/1/22,104.349189,ARS,0.009583208
2/2/22,105.124903,ARS,0.009512494
12/2/22,106.114728,ARS,0.009423763
20/2/22,106.73594,ARS,0.009368915
27/2/22,107.697787,ARS,0.009285242
9/3/22,108.634648,ARS,0.009205166
15/3/22,109.276243,ARS,0.00915112
18/3/22,109.43432,ARS,0.009137901
25/3/22,110.362049,ARS,0.009061086
26/3/22,110.306322,ARS,0.009065664
29/3/22,110.806331,ARS,0.009024755
8/4/22,112.089132,ARS,0.008921472
9/4/22,112.050473,ARS,0.00892455
18/4/22,114.197664,ARS,0.008756747
19/4/22,113.750309,ARS,0.008791185
27/4/22,114.964904,ARS,0.008698307
4/5/20,1.567065,AUD,0.638135623
13/5/20,1.545105,AUD,0.647205206
14/5/20,1.554573,AUD,0.643263456
23/5/20,1.529988,AUD,0.653599898
29/5/20,1.50436,AUD,0.664734505
3/6/20,1.444055,AUD,0.692494399
5/6/20,1.435091,AUD,0.696819923
12/6/20,1.456484,AUD,0.686584954
18/6/20,1.458407,AUD,0.685679649
25/6/20,1.451591,AUD,0.688899284
28/6/20,1.457916,AUD,0.685910574
4/7/20,1.439884,AUD,0.69450039
5/7/20,1.440108,AUD,0.694392365
12/7/20,1.437309,AUD,0.695744617
20/7/20,1.424704,AUD,0.701900184
21/7/20,1.40155,AUD,0.713495773
22/7/20,1.400756,AUD,0.713900208
25/7/20,1.407459,AUD,0.71050027
26/7/20,1.409376,AUD,0.709533865
5/8/20,1.389015,AUD,0.71993463
15/8/20,1.394253,AUD,0.717229943
22/8/20,1.396609,AUD,0.716020017
30/8/20,1.35793,AUD,0.736414985
1/9/20,1.35609,AUD,0.737414183
3/9/20,1.37634,AUD,0.726564657
6/9/20,1.373396,AUD,0.728122115
10/9/20,1.376231,AUD,0.726622202
11/9/20,1.372966,AUD,0.728350156
14/9/20,1.371735,AUD,0.72900378
17/9/20,1.366549,AUD,0.731770321
21/9/20,1.384391,AUD,0.722339281
25/9/20,1.423133,AUD,0.702675014
1/10/20,1.391878,AUD,0.718453773
5/10/20,1.390356,AUD,0.719240252
15/10/20,1.410595,AUD,0.708920704
24/10/20,1.400758,AUD,0.713899189
30/10/20,1.422679,AUD,0.702899249
5/11/20,1.377515,AUD,0.725944908
11/11/20,1.374171,AUD,0.727711471
19/11/20,1.374715,AUD,0.727423502
28/11/20,1.354015,AUD,0.738544255
8/12/20,1.349278,AUD,0.741137112
16/12/20,1.320606,AUD,0.757228121
22/12/20,1.329116,AUD,0.752379777
29/12/20,1.314375,AUD,0.760817879
3/1/21,1.299453,AUD,0.769554574
12/1/21,1.28698,AUD,0.777012852
17/1/21,1.297674,AUD,0.770609568
18/1/21,1.302363,AUD,0.767835081
25/1/21,1.296311,AUD,0.771419821
29/1/21,1.308558,AUD,0.764199982
30/1/21,1.308559,AUD,0.764199398
9/2/21,1.292954,AUD,0.77342272
13/2/21,1.28935,AUD,0.775584597
14/2/21,1.28862,AUD,0.776023964
23/2/21,1.26398,AUD,0.791151759
24/2/21,1.255672,AUD,0.796386317
26/2/21,1.297751,AUD,0.770563845
8/3/21,1.307917,AUD,0.76457451
13/3/21,1.288776,AUD,0.77593003
20/3/21,1.292324,AUD,0.773799759
29/3/21,1.309591,AUD,0.763597184
8/4/21,1.30667,AUD,0.76530417
17/4/21,1.292992,AUD,0.77339999
24/4/21,1.290822,AUD,0.774700152
4/5/21,1.296189,AUD,0.771492429
9/5/21,1.273376,AUD,0.785314
17/5/21,1.28735,AUD,0.776789529
24/5/21,1.289742,AUD,0.775348868
25/5/21,1.289888,AUD,0.775261108
4/6/21,1.291774,AUD,0.774129221
9/6/21,1.294041,AUD,0.772773042
19/6/21,1.337256,AUD,0.747799972
29/6/21,1.33135,AUD,0.751117287
3/7/21,1.327961,AUD,0.753034163
5/7/21,1.325395,AUD,0.754492057
10/7/21,1.335953,AUD,0.748529327
18/7/21,1.352771,AUD,0.739223416
28/7/21,1.356196,AUD,0.737356547
2/8/21,1.357918,AUD,0.736421492
12/8/21,1.362101,AUD,0.734159948
17/8/21,1.377149,AUD,0.72613784
25/8/21,1.37505,AUD,0.727246282
3/9/21,1.340214,AUD,0.746149496
10/9/21,1.359571,AUD,0.735526133
18/9/21,1.375476,AUD,0.727021046
28/9/21,1.380725,AUD,0.724257184
8/10/21,1.367365,AUD,0.731333623
14/10/21,1.347301,AUD,0.74222464
16/10/21,1.348254,AUD,0.741700006
18/10/21,1.349743,AUD,0.740881783
19/10/21,1.337526,AUD,0.747649018
26/10/21,1.332741,AUD,0.750333336
1/11/21,1.330164,AUD,0.751786998
2/11/21,1.345369,AUD,0.743290502
11/11/21,1.371068,AUD,0.729358427
21/11/21,1.382464,AUD,0.723346141
28/11/21,1.404419,AUD,0.712038217
8/12/21,1.395314,AUD,0.71668456
12/12/21,1.397483,AUD,0.715572211
13/12/21,1.402048,AUD,0.713242343
16/12/21,1.392499,AUD,0.71813337
22/12/21,1.388057,AUD,0.72043151
24/12/21,1.384038,AUD,0.722523515
25/12/21,1.384685,AUD,0.722185912
30/12/21,1.378932,AUD,0.725198922
8/1/22,1.392236,AUD,0.718269029
16/1/22,1.385056,AUD,0.721992468
20/1/22,1.383741,AUD,0.722678594
28/1/22,1.430247,AUD,0.699179932
1/2/22,1.402703,AUD,0.71290929
7/2/22,1.403913,AUD,0.71229485
13/2/22,1.402962,AUD,0.71277768
23/2/22,1.383715,AUD,0.722692173
25/2/22,1.383455,AUD,0.722827992
3/3/22,1.364751,AUD,0.732734396
11/3/22,1.371397,AUD,0.729183453
19/3/22,1.345624,AUD,0.743149647
20/3/22,1.349943,AUD,0.740772018
28/3/22,1.334145,AUD,0.749543715
1/4/22,1.332235,AUD,0.750618322
2/4/22,1.334389,AUD,0.749406657
4/4/22,1.326212,AUD,0.75402726
7/4/22,1.33592,AUD,0.748547817
15/4/22,1.35197,AUD,0.739661383
19/4/22,1.353076,AUD,0.739056786
28/4/22,1.407633,AUD,0.710412444
7/5/20,1.8108,BGN,0.552242103
12/5/20,1.808882,BGN,0.552827658
19/5/20,1.792965,BGN,0.557735371
21/5/20,1.784215,BGN,0.560470571
30/5/20,1.761924,BGN,0.56756137
2/6/20,1.750511,BGN,0.571261763
5/6/20,1.732927,BGN,0.577058353
10/6/20,1.72159,BGN,0.580858393
12/6/20,1.73789,BGN,0.575410411
19/6/20,1.7498,BGN,0.571493885
26/6/20,1.74189,BGN,0.574089064
29/6/20,1.741624,BGN,0.574176745
1/7/20,1.736579,BGN,0.575844808
10/7/20,1.7306,BGN,0.577834277
17/7/20,1.710365,BGN,0.584670524
27/7/20,1.6646,BGN,0.600744924
5/8/20,1.647825,BGN,0.606860559
9/8/20,1.65867,BGN,0.602892679
19/8/20,1.649472,BGN,0.606254608
23/8/20,1.657911,BGN,0.603168686
2/9/20,1.649914,BGN,0.606092196
4/9/20,1.657691,BGN,0.603248736
11/9/20,1.651699,BGN,0.605437189
19/9/20,1.6513,BGN,0.60558348
22/9/20,1.669551,BGN,0.598963434
2/10/20,1.6697,BGN,0.598909984
8/10/20,1.663159,BGN,0.601265423
14/10/20,1.662879,BGN,0.601366666
24/10/20,1.649,BGN,0.606428138
29/10/20,1.676575,BGN,0.59645408
1/11/20,1.677486,BGN,0.596130161
6/11/20,1.647444,BGN,0.607000906
16/11/20,1.6496,BGN,0.606207565
26/11/20,1.639779,BGN,0.609838277
1/12/20,1.622736,BGN,0.616243184
2/12/20,1.614748,BGN,0.619291679
6/12/20,1.613113,BGN,0.619919373
10/12/20,1.61054,BGN,0.620909757
16/12/20,1.60376,BGN,0.623534693
24/12/20,1.60642,BGN,0.62250221
29/12/20,1.596911,BGN,0.626208975
1/1/21,1.601211,BGN,0.624527311
11/1/21,1.609739,BGN,0.621218719
14/1/21,1.608864,BGN,0.621556577
20/1/21,1.617331,BGN,0.618302623
25/1/21,1.613907,BGN,0.619614389
27/1/21,1.615385,BGN,0.619047472
4/2/21,1.632882,BGN,0.612414124
12/2/21,1.616435,BGN,0.618645352
22/2/21,1.60861,BGN,0.621654721
4/3/21,1.632257,BGN,0.612648621
10/3/21,1.641866,BGN,0.609063103
17/3/21,1.634868,BGN,0.611670178
24/3/21,1.65569,BGN,0.603977798
30/3/21,1.670971,BGN,0.598454432
31/3/21,1.669314,BGN,0.599048471
5/4/21,1.664194,BGN,0.600891483
15/4/21,1.634105,BGN,0.61195578
23/4/21,1.61791,BGN,0.618081352
3/5/21,1.627196,BGN,0.614554116
9/5/21,1.608163,BGN,0.621827514
12/5/21,1.6199,BGN,0.617322057
18/5/21,1.6002,BGN,0.624921885
26/5/21,1.60412,BGN,0.623394758
29/5/21,1.603755,BGN,0.623536637
31/5/21,1.59965,BGN,0.625136749
8/6/21,1.608626,BGN,0.621648537
15/6/21,1.612331,BGN,0.620220042
16/6/21,1.627104,BGN,0.614588865
18/6/21,1.650484,BGN,0.60588288
19/6/21,1.650484,BGN,0.60588288
28/6/21,1.639899,BGN,0.609793652
6/7/21,1.654401,BGN,0.604448377
14/7/21,1.6523,BGN,0.60521697
17/7/21,1.657136,BGN,0.603450773
18/7/21,1.656823,BGN,0.603564774
24/7/21,1.661836,BGN,0.601744095
31/7/21,1.647203,BGN,0.607089715
8/8/21,1.662501,BGN,0.601503398
10/8/21,1.670491,BGN,0.598626392
17/8/21,1.668453,BGN,0.599357609
20/8/21,1.67544,BGN,0.596858139
30/8/21,1.656996,BGN,0.603501759
2/9/21,1.648116,BGN,0.606753408
6/9/21,1.645554,BGN,0.607698076
14/9/21,1.660149,BGN,0.602355572
22/9/21,1.668828,BGN,0.599222928
27/9/21,1.672209,BGN,0.598011373
6/10/21,1.693974,BGN,0.590327833
10/10/21,1.688903,BGN,0.592100316
16/10/21,1.687404,BGN,0.592626306
23/10/21,1.680026,BGN,0.595228883
30/10/21,1.691791,BGN,0.591089561
31/10/21,1.692119,BGN,0.590974985
7/11/21,1.691573,BGN,0.591165737
8/11/21,1.686878,BGN,0.592811098
16/11/21,1.726365,BGN,0.57925178
24/11/21,1.74633,BGN,0.572629457
28/11/21,1.726612,BGN,0.579168916
3/12/21,1.734066,BGN,0.576679319
10/12/21,1.730279,BGN,0.577941476
19/12/21,1.738231,BGN,0.575297529
29/12/21,1.722544,BGN,0.580536695
4/1/22,1.733502,BGN,0.576866943
11/1/22,1.721179,BGN,0.580997096
17/1/22,1.714466,BGN,0.583271993
22/1/22,1.724849,BGN,0.579760895
25/1/22,1.730184,BGN,0.57797321
2/2/22,1.729188,BGN,0.578306118
8/2/22,1.713944,BGN,0.583449634
14/2/22,1.73023,BGN,0.577957844
22/2/22,1.726756,BGN,0.579120617
24/2/22,1.745698,BGN,0.572836768
5/3/22,1.789252,BGN,0.558892766
14/3/22,1.784188,BGN,0.560479053
22/3/22,1.773019,BGN,0.564009748
27/3/22,1.779927,BGN,0.561820794
2/4/22,1.769986,BGN,0.56497622
9/4/22,1.796571,BGN,0.556615909
18/4/22,1.805578,BGN,0.553839269
27/4/22,1.852368,BGN,0.539849533
1/5/22,1.854616,BGN,0.539195176
10/5/20,0.378179,BHD,2.644250474
15/5/20,0.377755,BHD,2.647218435
23/5/20,0.377572,BHD,2.648501478
27/5/20,0.377658,BHD,2.647898363
6/6/20,0.376832,BHD,2.653702446
11/6/20,0.377584,BHD,2.648417306
17/6/20,0.377593,BHD,2.64835418
22/6/20,0.377047,BHD,2.65218925
29/6/20,0.377582,BHD,2.648431334
7/7/20,0.377059,BHD,2.652104843
9/7/20,0.377087,BHD,2.651907915
12/7/20,0.377069,BHD,2.652034508
14/7/20,0.377054,BHD,2.652140012
15/7/20,0.37701,BHD,2.652449537
24/7/20,0.377098,BHD,2.651830559
25/7/20,0.377098,BHD,2.651830559
29/7/20,0.376966,BHD,2.652759135
6/8/20,0.376981,BHD,2.652653582
12/8/20,0.377009,BHD,2.652456573
13/8/20,0.377008,BHD,2.652463608
15/8/20,0.377035,BHD,2.652273662
22/8/20,0.377005,BHD,2.652484715
28/8/20,0.376937,BHD,2.652963227
31/8/20,0.376996,BHD,2.652548038
2/9/20,0.377007,BHD,2.652470644
12/9/20,0.37702,BHD,2.652379184
20/9/20,0.37704,BHD,2.652238489
30/9/20,0.377124,BHD,2.651647734
5/10/20,0.37712,BHD,2.651675859
10/10/20,0.377073,BHD,2.652006375
16/10/20,0.377209,BHD,2.651050214
24/10/20,0.37705,BHD,2.652168147
26/10/20,0.376984,BHD,2.652632472
29/10/20,0.377035,BHD,2.652273662
3/11/20,0.376999,BHD,2.65252693
6/11/20,0.377032,BHD,2.652294765
8/11/20,0.377034,BHD,2.652280696
10/11/20,0.377079,BHD,2.651964177
18/11/20,0.37707,BHD,2.652027475
26/11/20,0.377056,BHD,2.652125944
30/11/20,0.377066,BHD,2.652055608
6/12/20,0.377053,BHD,2.652147046
16/12/20,0.377045,BHD,2.652203318
24/12/20,0.377039,BHD,2.652245524
26/12/20,0.376882,BHD,2.653350386
5/1/21,0.376998,BHD,2.652533966
7/1/21,0.376982,BHD,2.652646545
13/1/21,0.377048,BHD,2.652182216
18/1/21,0.377044,BHD,2.652210352
27/1/21,0.376974,BHD,2.652702839
29/1/21,0.377014,BHD,2.652421395
2/2/21,0.37703,BHD,2.652308835
6/2/21,0.376876,BHD,2.653392628
13/2/21,0.377044,BHD,2.652210352
21/2/21,0.377108,BHD,2.651760238
3/3/21,0.377193,BHD,2.651162667
6/3/21,0.377115,BHD,2.651711017
14/3/21,0.377129,BHD,2.651612578
16/3/21,0.376977,BHD,2.652681729
26/3/21,0.37655,BHD,2.655689815
4/4/21,0.377108,BHD,2.651760238
13/4/21,0.376982,BHD,2.652646545
14/4/21,0.376966,BHD,2.652759135
23/4/21,0.377114,BHD,2.651718048
24/4/21,0.377114,BHD,2.651718048
27/4/21,0.377056,BHD,2.652125944
6/5/21,0.377006,BHD,2.652477679
16/5/21,0.376866,BHD,2.653463035
26/5/21,0.377036,BHD,2.652266627
3/6/21,0.376984,BHD,2.652632472
5/6/21,0.377017,BHD,2.65240029
12/6/21,0.376911,BHD,2.653146233
22/6/21,0.376977,BHD,2.652681729
27/6/21,0.376842,BHD,2.653632026
7/7/21,0.377008,BHD,2.652463608
17/7/21,0.376982,BHD,2.652646545
20/7/21,0.376967,BHD,2.652752098
23/7/21,0.377104,BHD,2.651788366
1/8/21,0.377566,BHD,2.648543566
10/8/21,0.377657,BHD,2.647905374
17/8/21,0.376919,BHD,2.653089921
23/8/21,0.377131,BHD,2.651598516
27/8/21,0.37705,BHD,2.652168147
31/8/21,0.376904,BHD,2.653195509
10/9/21,0.377394,BHD,2.649750658
16/9/21,0.376205,BHD,2.658125224
25/9/21,0.377738,BHD,2.647337573
1/10/21,0.377135,BHD,2.651570393
9/10/21,0.376985,BHD,2.652625436
13/10/21,0.376745,BHD,2.654315253
20/10/21,0.377215,BHD,2.651008046
21/10/21,0.377313,BHD,2.650319496
23/10/21,0.377124,BHD,2.651647734
30/10/21,0.377696,BHD,2.647631958
7/11/21,0.377372,BHD,2.649905133
10/11/21,0.377467,BHD,2.649238212
18/11/21,0.377752,BHD,2.647239459
26/11/21,0.377507,BHD,2.648957503
1/12/21,0.377901,BHD,2.646195697
2/12/21,0.377448,BHD,2.649371569
11/12/21,0.377633,BHD,2.648073659
18/12/21,0.377622,BHD,2.648150796
27/12/21,0.377475,BHD,2.649182065
6/1/22,0.377674,BHD,2.647786186
16/1/22,0.376521,BHD,2.655894359
23/1/22,0.37677,BHD,2.65413913
1/2/22,0.377857,BHD,2.646503836
10/2/22,0.377347,BHD,2.650080695
18/2/22,0.377333,BHD,2.65017902
19/2/22,0.377283,BHD,2.650530239
21/2/22,0.377012,BHD,2.652435466
23/2/22,0.376936,BHD,2.652970266
25/2/22,0.377627,BHD,2.648115733
27/2/22,0.375027,BHD,2.66647468
9/3/22,0.377479,BHD,2.649153993
16/3/22,0.376989,BHD,2.652597291
19/3/22,0.376998,BHD,2.652533966
26/3/22,0.377234,BHD,2.650874524
30/3/22,0.37702,BHD,2.652379184
6/4/22,0.377348,BHD,2.650073672
7/4/22,0.376901,BHD,2.653216627
13/4/22,0.377947,BHD,2.645873628
23/4/22,0.377194,BHD,2.651155639
26/4/22,0.377279,BHD,2.65055834
28/4/22,0.3772,BHD,2.651113468
7/5/20,1.420366,BND,0.704043887
11/5/20,1.412961,BND,0.707733618
18/5/20,1.424232,BND,0.702132799
19/5/20,1.426351,BND,0.701089704
26/5/20,1.42404,BND,0.702227466
3/6/20,1.399005,BND,0.714793728
5/6/20,1.393226,BND,0.717758641
12/6/20,1.390562,BND,0.719133703
21/6/20,1.392406,BND,0.718181335
23/6/20,1.392262,BND,0.718255616
1/7/20,1.396325,BND,0.716165649
2/7/20,1.393649,BND,0.717540787
5/7/20,1.394289,BND,0.717211425
7/7/20,1.395293,BND,0.716695346
10/7/20,1.390504,BND,0.719163699
14/7/20,1.393473,BND,0.717631414
23/7/20,1.385412,BND,0.721806943
25/7/20,1.386384,BND,0.721300881
28/7/20,1.378979,BND,0.725174205
3/8/20,1.376316,BND,0.726577327
7/8/20,1.371218,BND,0.729278641
15/8/20,1.372135,BND,0.728791263
22/8/20,1.36941,BND,0.730241491
1/9/20,1.357032,BND,0.736902299
5/9/20,1.363172,BND,0.733583143
9/9/20,1.369441,BND,0.73022496
19/9/20,1.356657,BND,0.737105989
28/9/20,1.373409,BND,0.728115223
6/10/20,1.36016,BND,0.735207623
7/10/20,1.359234,BND,0.735708495
15/10/20,1.360824,BND,0.734848886
16/10/20,1.357911,BND,0.736425289
25/10/20,1.356984,BND,0.736928365
1/11/20,1.364199,BND,0.733030885
5/11/20,1.35953,BND,0.735548314
13/11/20,1.349463,BND,0.741035508
18/11/20,1.341754,BND,0.745293101
22/11/20,1.343082,BND,0.744556178
27/11/20,1.33841,BND,0.747155207
28/11/20,1.338411,BND,0.747154648
7/12/20,1.338277,BND,0.74722946
11/12/20,1.337404,BND,0.747717219
12/12/20,1.337404,BND,0.747717219
20/12/20,1.327422,BND,0.753339933
25/12/20,1.328657,BND,0.752639696
1/1/21,1.328012,BND,0.753005244
8/1/21,1.324311,BND,0.755109638
